2015;january;55287
2015;february;50428
2015;march;57059
2015;april;54514
2015;may;50070
2015;june;45851
2015;july;48291
2015;august;42867
2015;september;43642
2015;october;48919
2015;november;47087
2015;december;50781
2016;january;56236
2016;february;48796
2016;march;50367
2016;april;47510
2016;may;49717
2016;june;47181
2016;july;44485
2016;august;44871
2016;september;42760
2016;october;47994
2016;november;49849
2016;december;53865
2017;january;58151
2017;february;47356
2017;march;49737
2017;april;47050
2017;may;51274
2017;june;44565
2017;july;42566
2017;august;45806
2017;september;41966
2017;october;49054
2017;november;48332
2017;december;48266
2018;january;53851
2018;february;47088
2018;march;54088
2018;april;48567
2018;may;50627
2018;june;43796
2018;july;46350
2018;august;45245
2018;september;41870
2018;october;52999
2018;november;50623
2018;december;52561
2019;january;62196
2019;february;47891
2019;march;49177
2019;april;47879
2019;may;53791
2019;june;43396
2019;july;47930
2019;august;42359
2019;september;41914
2019;october;50245
2019;november;46986
2019;december;47350
2020;january;53610
2020;february;47128
2020;march;48326
2020;april;46223
2020;may;44680
2020;june;47043
2020;july;47297
2020;august;44008
2020;september;48372
2020;october;59047
2020;november;63438
2020;december;67663
2021;january;57721
2021;february;51391
2021;march;64938
2021;april;68621
2021;may;57293
2021;june;49077
2021;july;46851
2021;august;43538
2021;september;48425
2021;october;74282
2021;november;87862
2021;december;64264
